,calib_pred,calib_true,q2,q5,q7,q8,q9
0,4.930896282196045,5.0,5.0,5.0,5.0,5.0,5.0
1,6.999922275543213,5.0,5.0,5.0,5.0,5.0,5.0
2,5.324323654174805,5.0,5.0,5.0,5.920818753952375,6.356547323513812,6.455931955649724
3,5.2426981925964355,5.481486060122113,5.0,5.0,5.0,5.0,5.1
4,5.590793609619141,5.0,5.0,5.0,5.0,5.0,5.904700876731446
5,7.561456680297852,9.113509274827518,5.0,5.0,5.708512583073295,6.456685660619315,8.053554394051933
6,6.245489597320557,5.568636235841013,5.0,5.287967737291256,7.461462975529174,8.170234422669175,8.401017899130922
7,5.9040141105651855,5.0,5.0,5.287967737291256,7.461462975529174,8.170234422669175,8.401017899130922
8,5.2903008460998535,5.0,5.0,5.0,5.0,5.0,5.0
9,6.227930545806885,5.0,5.0,6.299299729609228,7.56968241169672,7.787170498505569,7.910390122074611
10,5.102452278137207,5.0,5.0,5.0,5.0869625986495866,5.173925197299173,5.265236260406493
11,5.290732383728027,5.0,5.0,5.0,5.708512583073295,6.456685660619315,8.053554394051933
12,5.334030628204346,5.0,5.0,5.0,5.101727661233145,5.520030657457415,5.848767903643857
13,6.0543389320373535,5.376750709602099,5.0,6.299299729609228,7.56968241169672,7.787170498505569,7.910390122074611
14,4.7892632484436035,5.0,5.0,5.0,5.0,5.0,5.920818753952375
15,5.593908786773682,5.0,5.0,5.0,5.0,5.0,5.0
16,6.5913472175598145,7.795880017344075,5.0,5.0,5.5376020021010435,5.721246399047171,6.026872146400302
17,5.168168544769287,5.0,5.0,5.0,6.315831350852757,7.387503458885711,8.024315496631102
18,6.142013072967529,6.522878745280337,5.9901019303030605,6.591647408166742,7.128788772280643,7.208036362993901,7.287283953707157
19,4.671712398529053,5.0,5.0,5.0,5.0,5.0,5.0
20,4.6889328956604,5.0,5.0,5.0,5.0,5.0,5.287582194452533
21,4.847768306732178,5.0,5.0,5.0,5.0,5.012096149476276,5.089111421265709
